VariantID	Chromosome	Start	End	Type	Classification	Total score	1A-B	2A	2B	2C	2D	2E	2F	2G	2H	2I	2J	2K	2L	3	4A	4B	4C	4D	4E	4F-H	4I	4J	4K	4L	4M	4N	4O	5A	5B	5C	5D	5E	5F	5G	5H	Known or predicted dosage-sensitive genes	All protein coding genes
chr11_1831453_2929365_DUP	chr11	1831453	2929365	DUP	Uncertain significance	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		SYT8, TNNI2, LSP1, TNNT3, MRPL23, HOTS, IGF2, INS-IGF2, INS, TH, ASCL2, C11orf21, TSPAN32, CD81, TSSC4, TRPM5, KCNQ1, CDKN1C, SLC22A18AS, SLC22A18, PHLDA2
chr22_40519464_41607862_DEL	chr22	40519464	41607862	DEL	Pathogenic	1.15	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	RBX1, EP300	MRTFA, MCHR1, SLC25A17, ST13, XPNPEP3, DNAJB7, RBX1, EP300, L3MBTL2, CHADL, RANGAP1, ZC3H7B, TEF, TOB2, PHF5A, ACO2, POLR3H, CSDC2, PMM1, DESI1
chr7_114922417_123199947_DUP	chr7	114922417	123199947	DUP	Uncertain significance	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		MDFIC, TFEC, TES, CAV2, CAV1, MET, CAPZA2, ST7, WNT2, ASZ1, CFTR, CTTNBP2, LSM8, ANKRD7, KCND2, TSPAN12, ING3, CPED1, WNT16, FAM3C, PTPRZ1, AASS, FEZF1, CADPS2, RNF133, RNF148, TAS2R16, SLC13A1
chr7_154305495_155964940_DUP	chr7	154305495	155964940	DUP	Uncertain significance	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		DPP6, PAXIP1, HTR5A, INSIG1, EN2, CNPY1, RBM33, SHH, LOC389602
chr7_18458842_20409998_DUP	chr7	18458842	20409998	DUP	Uncertain significance	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		HDAC9, TWIST1, FERD3L, TWISTNB, TMEM196, MACC1, ITGB8
chr7_33257236_35253621_DUP	chr7	33257236	35253621	DUP	Uncertain significance	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		BBS9, BMPER, NPSR1, DPY19L1, TBX20
chr7_36576574_37950397_DUP	chr7	36576574	37950397	DUP	Uncertain significance	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		AOAH, ELMO1, GPR141, NME8, SFRP4, EPDR1
chr7_38362864_39464687_DUP	chr7	38362864	39464687	DUP	Uncertain significance	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		AMPH, VPS41, POU6F2
chr7_45574544_47582472_DUP	chr7	45574544	47582472	DUP	Uncertain significance	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		ADCY1, IGFBP1, IGFBP3, TNS3
chr7_81702581_83162593_DUP	chr7	81702581	83162593	DUP	Uncertain significance	0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		HGF, CACNA2D1, PCLO
