chrom	length	bases	mean	min	max
chr1	248956422	347124996	1.39	0	3335
chr2	242193529	336602063	1.39	0	1924
chr3	198295559	279711273	1.41	0	20065
chr4	190214555	270273944	1.42	0	7532
chr5	181538259	249726280	1.38	0	4011
chr6	170805979	233858864	1.37	0	293
chr7	159345973	220533410	1.38	0	252
chr8	145138636	201296145	1.39	0	2016
chr9	138394717	174228318	1.26	0	386
chr10	133797422	192781372	1.44	0	4054
chr11	135086622	188454355	1.40	0	196
chr12	133275309	183648929	1.38	0	95
chr13	114364328	145749475	1.27	0	3806
chr14	107043718	121874197	1.14	0	370
chr15	101991189	118201235	1.16	0	136
chr16	90338345	128131289	1.42	0	1736
chr17	83257441	119509161	1.44	0	1189
chr18	80373285	115258044	1.43	0	2756
chr19	58617616	79046783	1.35	0	152
chr20	64444167	96284903	1.49	0	727
chr21	46709983	74199609	1.59	0	1543
chr22	50818468	62220661	1.22	0	1915
chrX	156040895	107473567	0.69	0	145
chrY	57227415	33732831	0.59	0	4311
chrM	16569	981517	59.24	13	98
total	3088286401	4080903221	1.32	0	20065
