chrom	length	bases	mean	min	max
chr1	248956422	666220674	2.68	0	5529
chr2	242193529	627286095	2.59	0	4177
chr3	198295559	509327738	2.57	0	10508
chr4	190214555	491463566	2.58	0	8903
chr5	181538259	460168750	2.53	0	7892
chr6	170805979	434154976	2.54	0	636
chr7	159345973	411001338	2.58	0	274
chr8	145138636	374529359	2.58	0	1879
chr9	138394717	320920110	2.32	0	1283
chr10	133797422	368120425	2.75	0	7405
chr11	135086622	352836563	2.61	0	186
chr12	133275309	344386169	2.58	0	498
chr13	114364328	264306532	2.31	0	727
chr14	107043718	235102691	2.20	0	689
chr15	101991189	228182467	2.24	0	303
chr16	90338345	239790960	2.65	0	2041
chr17	83257441	229581287	2.76	0	2858
chr18	80373285	212243598	2.64	0	4651
chr19	58617616	151315177	2.58	0	183
chr20	64444167	186922631	2.90	0	2185
chr21	46709983	127450222	2.73	0	3203
chr22	50818468	122508766	2.41	0	1408
chrX	156040895	391251071	2.51	0	124
chrY	57227415	16988768	0.30	0	8064
chrM	16569	484406	29.24	3	58
total	3088286401	7766544339	2.51	0	10508
