chrom	length	bases	mean	min	max
chr1	248956422	429520932	1.73	0	3314
chr2	242193529	404678520	1.67	0	2686
chr3	198295559	327027191	1.65	0	8764
chr4	190214555	313604848	1.65	0	6350
chr5	181538259	297483872	1.64	0	4705
chr6	170805979	278859936	1.63	0	263
chr7	159345973	266422470	1.67	0	317
chr8	145138636	243566676	1.68	0	532
chr9	138394717	212645040	1.54	0	1549
chr10	133797422	239508680	1.79	0	4923
chr11	135086622	230024873	1.70	0	60
chr12	133275309	220163081	1.65	0	142
chr13	114364328	162136338	1.42	0	2593
chr14	107043718	146448323	1.37	0	515
chr15	101991189	147224093	1.44	0	243
chr16	90338345	162774840	1.80	0	2032
chr17	83257441	154064905	1.85	0	2464
chr18	80373285	137967268	1.72	0	3117
chr19	58617616	102632583	1.75	0	153
chr20	64444167	125142442	1.94	0	1352
chr21	46709983	88327354	1.89	0	4106
chr22	50818468	79826195	1.57	0	1607
chrX	156040895	131556766	0.84	0	97
chrY	57227415	45537153	0.80	0	5563
chrM	16569	1790941	108.09	2	240
total	3088286401	4948935320	1.60	0	8764
