chrom	length	bases	mean	min	max
chr1	248956422	392926325	1.58	0	7985
chr2	242193529	365431022	1.51	0	2779
chr3	198295559	303957895	1.53	0	16656
chr4	190214555	293055595	1.54	0	7826
chr5	181538259	273274236	1.51	0	5547
chr6	170805979	254197876	1.49	0	399
chr7	159345973	241379295	1.51	0	227
chr8	145138636	219815024	1.51	0	1255
chr9	138394717	188779132	1.36	0	814
chr10	133797422	213300026	1.59	0	5618
chr11	135086622	204574686	1.51	0	134
chr12	133275309	198633175	1.49	0	61
chr13	114364328	152784807	1.34	0	3012
chr14	107043718	133935693	1.25	0	374
chr15	101991189	130770054	1.28	0	200
chr16	90338345	146348923	1.62	0	2890
chr17	83257441	132305105	1.59	0	1847
chr18	80373285	123915027	1.54	0	3137
chr19	58617616	87456605	1.49	0	143
chr20	64444167	106735750	1.66	0	1016
chr21	46709983	84401416	1.81	0	2043
chr22	50818468	67816058	1.33	0	1728
chrX	156040895	117921504	0.76	0	139
chrY	57227415	39680227	0.69	0	5736
chrM	16569	3680410	222.13	33	352
total	3088286401	4477075866	1.45	0	16656
