chrom	length	bases	mean	min	max
chr1	248956422	556185761	2.23	0	8264
chr2	242193529	527217704	2.18	0	1423
chr3	198295559	346370612	1.75	0	21078
chr4	190214555	426021135	2.24	0	14774
chr5	181538259	393183502	2.17	0	2842
chr6	170805979	310527935	1.82	0	616
chr7	159345973	441680161	2.77	0	420
chr8	145138636	317461933	2.19	0	4606
chr9	138394717	211865122	1.53	0	536
chr10	133797422	220050338	1.64	0	2958
chr11	135086622	294741598	2.18	0	147
chr12	133275309	300640468	2.26	0	138
chr13	114364328	166336080	1.45	0	5833
chr14	107043718	141558732	1.32	0	986
chr15	101991189	171980846	1.69	0	190
chr16	90338345	194182810	2.15	0	2566
chr17	83257441	184020730	2.21	0	1584
chr18	80373285	177031285	2.20	0	3582
chr19	58617616	122667254	2.09	0	97
chr20	64444167	185871013	2.88	0	734
chr21	46709983	104374578	2.23	0	2908
chr22	50818468	94944926	1.87	0	3304
chrX	156040895	169574581	1.09	0	140
chrY	57227415	46982515	0.82	0	3341
chrM	16569	20815802	1256.31	334	1724
total	3088286401	6126287421	1.98	0	21078
