chrom	length	bases	mean	min	max
chr1	248956422	433423701	1.74	0	7825
chr2	242193529	401044986	1.66	0	2281
chr3	198295559	327818063	1.65	0	10331
chr4	190214555	313546453	1.65	0	6794
chr5	181538259	295296779	1.63	0	3904
chr6	170805979	278616196	1.63	0	561
chr7	159345973	266438443	1.67	0	337
chr8	145138636	240058206	1.65	0	1761
chr9	138394717	208673268	1.51	0	569
chr10	133797422	238087148	1.78	0	4257
chr11	135086622	228121776	1.69	0	96
chr12	133275309	220856163	1.66	0	96
chr13	114364328	163727833	1.43	0	3808
chr14	107043718	149987175	1.40	0	438
chr15	101991189	145927976	1.43	0	238
chr16	90338345	164878916	1.83	0	2265
chr17	83257441	156265074	1.88	0	2455
chr18	80373285	135468249	1.69	0	3832
chr19	58617616	108712984	1.85	0	86
chr20	64444167	123384849	1.91	0	810
chr21	46709983	87388645	1.87	0	3690
chr22	50818468	82161822	1.62	0	2890
chrX	156040895	128611348	0.82	0	124
chrY	57227415	42190588	0.74	0	4461
chrM	16569	2336939	141.04	32	220
total	3088286401	4943023580	1.60	0	10331
