chrom	length	bases	mean	min	max
chr1	248956422	386930496	1.55	0	2497
chr2	242193529	392794184	1.62	0	1285
chr3	198295559	320522686	1.62	0	8521
chr4	190214555	308058819	1.62	0	3836
chr5	181538259	291330573	1.60	0	2566
chr6	170805979	265442042	1.55	0	152
chr7	159345973	293544403	1.84	0	309
chr8	145138636	234466511	1.62	0	1020
chr9	138394717	190581928	1.38	0	970
chr10	133797422	212466483	1.59	0	2417
chr11	135086622	224518736	1.66	0	101
chr12	133275309	221130231	1.66	0	141
chr13	114364328	160889987	1.41	0	370
chr14	107043718	145289075	1.36	0	201
chr15	101991189	135272145	1.33	0	130
chr16	90338345	136948750	1.52	0	835
chr17	83257441	128001375	1.54	0	784
chr18	80373285	126384809	1.57	0	2728
chr19	58617616	83181557	1.42	0	95
chr20	64444167	108469653	1.68	0	487
chr21	46709983	81183946	1.74	0	942
chr22	50818468	59416071	1.17	0	517
chrX	156040895	234485715	1.50	0	82
chrY	57227415	7649729	0.13	0	2616
chrM	16569	13269939	800.89	208	1099
total	3088286401	4762229843	1.54	0	8521
