chrom	length	bases	mean	min	max
chr1	248956422	772663054	3.10	0	4475
chr2	242193529	745185437	3.08	0	3869
chr3	198295559	602182565	3.04	0	13158
chr4	190214555	572292587	3.01	0	8019
chr5	181538259	542455340	2.99	0	7141
chr6	170805979	511684228	3.00	0	540
chr7	159345973	485292192	3.05	0	383
chr8	145138636	441607711	3.04	0	2571
chr9	138394717	388785265	2.81	0	896
chr10	133797422	433600932	3.24	0	6737
chr11	135086622	420948325	3.12	0	356
chr12	133275309	407256667	3.06	0	204
chr13	114364328	308837183	2.70	0	4671
chr14	107043718	272081619	2.54	0	782
chr15	101991189	271386130	2.66	0	285
chr16	90338345	283927596	3.14	0	2440
chr17	83257441	274624443	3.30	0	2932
chr18	80373285	252278567	3.14	0	4337
chr19	58617616	178773792	3.05	0	279
chr20	64444167	221103178	3.43	0	2164
chr21	46709983	156392096	3.35	0	3038
chr22	50818468	144604660	2.85	0	2927
chrX	156040895	232766439	1.49	0	113
chrY	57227415	68578776	1.20	0	7737
chrM	16569	206099	12.44	0	37
total	3088286401	8989514881	2.91	0	13158
