chrom	length	bases	mean	min	max
chr1	248956422	359351872	1.44	0	3041
chr2	242193529	371096961	1.53	0	1123
chr3	198295559	304626083	1.54	0	12137
chr4	190214555	296065535	1.56	0	4751
chr5	181538259	276130515	1.52	0	2346
chr6	170805979	256924528	1.50	0	244
chr7	159345973	383043209	2.40	0	207
chr8	145138636	218714178	1.51	0	1284
chr9	138394717	200205348	1.45	0	714
chr10	133797422	139196700	1.04	0	2168
chr11	135086622	202714290	1.50	0	172
chr12	133275309	193960908	1.46	0	61
chr13	114364328	154605042	1.35	0	2755
chr14	107043718	130259772	1.22	0	1352
chr15	101991189	110512357	1.08	0	81
chr16	90338345	124754158	1.38	0	1265
chr17	83257441	114780309	1.38	0	882
chr18	80373285	117164526	1.46	0	2284
chr19	58617616	89723868	1.53	0	145
chr20	64444167	101326621	1.57	0	411
chr21	46709983	80502888	1.72	0	1228
chr22	50818468	65635536	1.29	0	1562
chrX	156040895	114195244	0.73	0	121
chrY	57227415	30130358	0.53	0	2367
chrM	16569	14288851	862.38	125	1224
total	3088286401	4449909657	1.44	0	12137
